volume,mass,length,shape,color,rough,light
276,157,189,TRI,Y,0,1
227,146,178,TRI,R,1,1
129,172,177,TRI,B,0,1
284,159,190,TRI,Y,0,1
363,193,192,REC,R,1,1
332,179,195,SQUA,B,1,1
120,143,192,REC,R,1,1
122,129,198,TRI,Y,1,1
176,150,189,TRI,B,0,1
263,164,186,TRI,Y,0,1
211,159,174,TRI,Y,1,1
160,141,186,TRI,Y,1,1
124,123,197,TRI,R,0,1
156,169,171,REC,Y,0,1
143,103,198,REC,G,1,1
179,96,171,SQUA,Y,0,1
150,138,171,TRI,R,1,1
193,130,171,TRI,Y,0,1
150,90,180,REC,Y,1,1
287,200,192,TRI,B,0,1
143,199,180,REC,R,1,1
279,143,177,SQUA,G,0,1
108,94,184,REC,B,0,1
102,135,181,TRI,R,0,1
309,198,191,TRI,G,1,1
342,198,188,SQUA,G,0,1
120,185,172,REC,Y,0,1
199,195,184,TRI,Y,0,1
241,161,178,TRI,Y,1,1
243,131,174,TRI,R,0,1
271,146,195,REC,B,0,1
222,155,197,TRI,Y,1,1
161,110,190,TRI,R,0,1
305,156,194,REC,B,1,1
232,138,180,REC,G,1,1
311,178,186,SQUA,B,0,1
179,126,195,REC,R,1,1
166,107,173,SQUA,B,0,1
221,119,182,TRI,R,1,1
266,151,171,REC,R,0,1
174,98,187,TRI,R,0,1
178,106,171,SQUA,R,0,1
263,172,176,REC,R,0,1
271,154,188,TRI,Y,1,1
227,126,186,TRI,B,0,1
184,151,190,SQUA,R,1,1
165,174,193,SQUA,G,0,1
137,180,190,SQUA,B,1,1
225,127,188,SQUA,R,0,1
238,185,197,TRI,Y,0,1
252,161,186,SQUA,R,0,1
159,161,191,REC,R,1,1
262,141,190,TRI,B,0,1
304,199,188,TRI,G,0,1
242,145,189,TRI,R,1,1
183,175,179,REC,G,1,1
181,110,198,TRI,R,1,1
102,165,189,SQUA,G,0,1
275,154,192,SQUA,Y,0,1
200,170,183,SQUA,Y,0,1
128,136,196,SQUA,G,1,1
129,198,172,SQUA,R,0,1
305,172,182,REC,R,1,1
245,194,193,SQUA,B,1,1
390,197,173,TRI,R,0,1
163,91,191,TRI,B,0,1
177,165,176,TRI,Y,0,1
229,189,171,TRI,B,1,1
330,182,200,REC,Y,0,1
169,106,190,REC,B,1,1
243,161,195,SQUA,G,0,1
274,177,196,TRI,B,0,1
331,174,194,TRI,Y,0,1
201,181,185,REC,B,0,1
379,195,177,REC,Y,1,1
175,125,194,REC,Y,0,1
297,168,180,SQUA,B,1,1
142,132,192,TRI,G,1,1
162,166,181,TRI,Y,1,1
196,157,199,TRI,B,1,1
176,136,174,TRI,Y,0,1
251,162,190,REC,B,1,1
119,112,176,SQUA,B,1,1
137,105,194,TRI,R,1,1
169,184,192,TRI,R,1,1
250,183,188,SQUA,Y,1,1
194,166,194,TRI,R,0,1
354,192,173,TRI,B,0,1
114,63,196,TRI,B,0,1
111,175,195,SQUA,B,1,1
211,148,186,REC,Y,1,1
303,185,171,TRI,Y,1,1
136,173,180,SQUA,Y,0,1
120,193,191,TRI,B,1,1
212,133,184,REC,B,1,1
316,191,180,REC,Y,0,1
173,93,196,TRI,Y,1,1
278,194,195,TRI,Y,0,1
206,160,198,SQUA,R,1,1
136,199,171,TRI,G,1,1
277,76,176,REC,B,1,0
410,82,165,SQUA,Y,1,0
204,122,168,TRI,Y,0,0
228,113,189,SQUA,Y,1,0
469,86,178,TRI,G,0,0
434,103,191,SQUA,Y,1,0
400,81,150,SQUA,R,1,0
110,173,166,REC,Y,1,0
188,79,196,REC,Y,0,0
452,87,154,TRI,G,0,0
440,78,154,REC,B,1,0
419,171,175,TRI,G,0,0
417,67,178,REC,G,0,0
296,82,155,SQUA,B,1,0
395,127,170,SQUA,R,0,0
388,136,175,TRI,B,0,0
113,64,167,SQUA,G,0,0
221,86,196,SQUA,G,0,0
465,122,191,REC,R,0,0
377,161,165,TRI,R,1,0
272,82,158,REC,R,0,0
109,135,157,REC,R,0,0
277,52,190,TRI,R,0,0
188,61,183,SQUA,Y,0,0
136,60,174,SQUA,R,0,0
266,75,187,TRI,B,1,0
225,57,195,TRI,R,0,0
484,184,182,TRI,B,0,0
437,152,163,SQUA,R,1,0
344,54,194,SQUA,B,1,0
